Ticker,BND,IAU,MOAT,QUAL,QUS,SCHD,SPLV,SPY,VCN.TO,VDY.TO,VFV.TO,VTI,XIC.TO,ZAG.TO,ZLB.TO
BND,1.0,0.3193903476904997,0.13115294487448342,0.12942857675631533,0.13670813866921036,0.09628990792163654,0.17708846195451372,0.11524000522319107,0.16759437479807163,0.10772457730641245,0.06660155313305442,0.12198199793569912,0.1580281985665094,0.6597328298540103,0.22447259322192775
IAU,0.3193903476904997,1.0,0.045100003564955596,0.043682599549758554,0.06413372886618811,0.02889687242900339,0.09768744364642526,0.04577028640997678,0.16315906366412536,0.007950009259673598,-0.06987220577540003,0.049718820475121564,0.17436223173278145,0.22285276233175097,0.09834342278974473
MOAT,0.13115294487448342,0.045100003564955596,1.0,0.9230218813944103,0.8687101604623108,0.8945409345322449,0.7752440383307347,0.9270070000110574,0.7465800687840215,0.7241638254685271,0.8224051618907189,0.9330671465152226,0.787169472558399,0.1153852880083499,0.6956204325244689
QUAL,0.12942857675631533,0.043682599549758554,0.9230218813944103,1.0,0.9118571821737476,0.8816940210337828,0.8030891812558028,0.9835996630285757,0.7561715411855884,0.7033436586650949,0.8877736536840226,0.9807169851847228,0.7925928100746659,0.1080653041341691,0.7125185956307225
QUS,0.13670813866921036,0.06413372886618811,0.8687101604623108,0.9118571821737476,1.0,0.862709274420431,0.8090046073731452,0.9122786583298589,0.7557415901725232,0.7032848117179078,0.8287883802377223,0.9105905097576517,0.7688970809301976,0.1390484886986022,0.7126531007307038
SCHD,0.09628990792163654,0.02889687242900339,0.8945409345322449,0.8816940210337828,0.862709274420431,1.0,0.8569262541378073,0.8856144724648813,0.72951923930719,0.7552403759375809,0.7865181981243465,0.8844667802885748,0.7667146842056939,0.0818951143965971,0.7039346367214782
SPLV,0.17708846195451372,0.09768744364642526,0.7752440383307347,0.8030891812558028,0.8090046073731452,0.8569262541378073,1.0,0.8034083043843177,0.661126463792585,0.6706449138046527,0.7315188162632756,0.796055082444112,0.7009139743162938,0.19837495983997946,0.7563258470160876
SPY,0.11524000522319107,0.04577028640997678,0.9270070000110574,0.9835996630285757,0.9122786583298589,0.8856144724648813,0.8034083043843177,1.0,0.7714044743580271,0.7174611921526807,0.8983238958533867,0.9960627955328387,0.8098983851509896,0.10474303013426395,0.7070084476969877
VCN.TO,0.16759437479807163,0.16315906366412536,0.7465800687840215,0.7561715411855884,0.7557415901725232,0.72951923930719,0.661126463792585,0.7714044743580271,1.0,0.8626424154613554,0.7014311693928089,0.7851169013251684,0.9400431859347982,0.21237977909297764,0.811450315623985
VDY.TO,0.10772457730641245,0.007950009259673598,0.7241638254685271,0.7033436586650949,0.7032848117179078,0.7552403759375809,0.6706449138046527,0.7174611921526807,0.8626424154613554,1.0,0.6462819958010333,0.7274582997377781,0.9146652521223225,0.1448536851082903,0.8326113279828429
VFV.TO,0.06660155313305442,-0.06987220577540003,0.8224051618907189,0.8877736536840226,0.8287883802377223,0.7865181981243465,0.7315188162632756,0.8983238958533867,0.7014311693928089,0.6462819958010333,1.0,0.8930110873126863,0.7349147542878647,0.1243270162783758,0.679171075969157
VTI,0.12198199793569912,0.049718820475121564,0.9330671465152226,0.9807169851847228,0.9105905097576517,0.8844667802885748,0.796055082444112,0.9960627955328387,0.7851169013251684,0.7274582997377781,0.8930110873126863,1.0,0.822582341148237,0.11522313520520518,0.713657882070627
XIC.TO,0.1580281985665094,0.17436223173278145,0.787169472558399,0.7925928100746659,0.7688970809301976,0.7667146842056939,0.7009139743162938,0.8098983851509896,0.9400431859347982,0.9146652521223225,0.7349147542878647,0.822582341148237,1.0,0.19716882403187122,0.8613859322869095
ZAG.TO,0.6597328298540103,0.22285276233175097,0.1153852880083499,0.1080653041341691,0.1390484886986022,0.0818951143965971,0.19837495983997946,0.10474303013426395,0.21237977909297764,0.1448536851082903,0.1243270162783758,0.11522313520520518,0.19716882403187122,1.0,0.2860308780654927
ZLB.TO,0.22447259322192775,0.09834342278974473,0.6956204325244689,0.7125185956307225,0.7126531007307038,0.7039346367214782,0.7563258470160876,0.7070084476969877,0.811450315623985,0.8326113279828429,0.679171075969157,0.713657882070627,0.8613859322869095,0.2860308780654927,1.0
