Date,Adj_Close,Ticker,Market
2014-01-02,148.98606872558594,SPY,US
2014-01-03,148.96165466308594,SPY,US
2014-01-06,148.52993774414062,SPY,US
2014-01-07,149.44216918945312,SPY,US
2014-01-08,149.47474670410156,SPY,US
2014-01-09,149.5724639892578,SPY,US
2014-01-10,149.97970581054688,SPY,US
2014-01-13,147.98419189453125,SPY,US
2014-01-14,149.59693908691406,SPY,US
2014-01-15,150.4032440185547,SPY,US
2014-01-16,150.207763671875,SPY,US
2014-01-17,149.5724639892578,SPY,US
2014-01-21,150.01229858398438,SPY,US
2014-01-22,150.1100311279297,SPY,US
2014-01-23,148.88015747070312,SPY,US
2014-01-24,145.7036895751953,SPY,US
2014-01-27,144.98690795898438,SPY,US
2014-01-28,145.8502960205078,SPY,US
2014-01-29,144.44935607910156,SPY,US
2014-01-30,145.98057556152344,SPY,US
2014-01-31,145.1253662109375,SPY,US
2014-02-03,141.85928344726562,SPY,US
2014-02-04,142.8529815673828,SPY,US
2014-02-05,142.67372131347656,SPY,US
2014-02-06,144.55526733398438,SPY,US
2014-02-07,146.34710693359375,SPY,US
2014-02-10,146.6158447265625,SPY,US
2014-02-11,148.22039794921875,SPY,US
2014-02-12,148.2936553955078,SPY,US
2014-02-13,149.059326171875,SPY,US
2014-02-14,149.88198852539062,SPY,US
2014-02-18,150.06118774414062,SPY,US
2014-02-19,149.06747436523438,SPY,US
2014-02-20,149.94712829589844,SPY,US
2014-02-21,149.7760772705078,SPY,US
2014-02-24,150.60687255859375,SPY,US
2014-02-25,150.54986572265625,SPY,US
2014-02-26,150.5580291748047,SPY,US
2014-02-27,151.34811401367188,SPY,US
2014-02-28,151.7308807373047,SPY,US
2014-03-03,150.6638946533203,SPY,US
2014-03-04,152.78150939941406,SPY,US
2014-03-05,152.92007446289062,SPY,US
2014-03-06,153.27029418945312,SPY,US
2014-03-07,153.33541870117188,SPY,US
2014-03-10,153.2539520263672,SPY,US
2014-03-11,152.49652099609375,SPY,US
2014-03-12,152.5372314453125,SPY,US
2014-03-13,150.8267822265625,SPY,US
2014-03-14,150.4032440185547,SPY,US
2014-03-17,151.76344299316406,SPY,US
2014-03-18,152.84671020507812,SPY,US
2014-03-19,152.03224182128906,SPY,US
2014-03-20,152.92007446289062,SPY,US
2014-03-21,152.32691955566406,SPY,US
2014-03-24,151.6969451904297,SPY,US
2014-03-25,152.41690063476562,SPY,US
2014-03-26,151.3206787109375,SPY,US
2014-03-27,151.0016326904297,SPY,US
2014-03-28,151.7460479736328,SPY,US
2014-03-31,152.98953247070312,SPY,US
2014-04-01,154.00399780273438,SPY,US
2014-04-02,154.51939392089844,SPY,US
2014-04-03,154.31483459472656,SPY,US
2014-04-04,152.49053955078125,SPY,US
2014-04-07,150.80526733398438,SPY,US
2014-04-08,151.427001953125,SPY,US
2014-04-09,153.05499267578125,SPY,US
2014-04-10,149.83995056152344,SPY,US
2014-04-11,148.4900665283203,SPY,US
2014-04-14,149.65994262695312,SPY,US
2014-04-15,150.69076538085938,SPY,US
2014-04-16,152.26966857910156,SPY,US
2014-04-17,152.48231506347656,SPY,US
2014-04-21,153.0141143798828,SPY,US
2014-04-22,153.70944213867188,SPY,US
2014-04-23,153.3494873046875,SPY,US
2014-04-24,153.660400390625,SPY,US
2014-04-25,152.4005889892578,SPY,US
2014-04-28,152.88320922851562,SPY,US
2014-04-29,153.59495544433594,SPY,US
2014-04-30,154.05300903320312,SPY,US
2014-05-01,154.0694122314453,SPY,US
2014-05-02,153.84852600097656,SPY,US
2014-05-05,154.14303588867188,SPY,US
2014-05-06,152.8013458251953,SPY,US
2014-05-07,153.70132446289062,SPY,US
2014-05-08,153.53762817382812,SPY,US
2014-05-09,153.76673889160156,SPY,US
2014-05-12,155.26382446289062,SPY,US
2014-05-13,155.4029083251953,SPY,US
2014-05-14,154.6666259765625,SPY,US
2014-05-15,153.30860900878906,SPY,US
2014-05-16,153.84033203125,SPY,US
2014-05-19,154.40484619140625,SPY,US
2014-05-20,153.4312286376953,SPY,US
2014-05-21,154.723876953125,SPY,US
2014-05-22,155.10020446777344,SPY,US
2014-05-23,155.72190856933594,SPY,US
2014-05-27,156.6791229248047,SPY,US
2014-05-28,156.56454467773438,SPY,US
2014-05-29,157.37448120117188,SPY,US
2014-05-30,157.62808227539062,SPY,US
2014-06-02,157.80807495117188,SPY,US
2014-06-03,157.7262725830078,SPY,US
2014-06-04,158.04530334472656,SPY,US
2014-06-05,159.0760955810547,SPY,US
2014-06-06,159.83694458007812,SPY,US
2014-06-09,160.00048828125,SPY,US
2014-06-10,160.01687622070312,SPY,US
2014-06-11,159.46063232421875,SPY,US
2014-06-12,158.3315887451172,SPY,US
2014-06-13,158.81427001953125,SPY,US
2014-06-16,158.94517517089844,SPY,US
2014-06-17,159.3869171142578,SPY,US
2014-06-18,160.55673217773438,SPY,US
2014-06-19,160.7367401123047,SPY,US
2014-06-20,161.06307983398438,SPY,US
2014-06-23,161.01382446289062,SPY,US
2014-06-24,160.04383850097656,SPY,US
2014-06-25,160.76719665527344,SPY,US
2014-06-26,160.65211486816406,SPY,US
2014-06-27,160.96446228027344,SPY,US
2014-06-30,160.88226318359375,SPY,US
2014-07-01,161.9591064453125,SPY,US
2014-07-02,162.1234893798828,SPY,US
2014-07-03,162.9208526611328,SPY,US
2014-07-07,162.35357666015625,SPY,US
2014-07-08,161.3097381591797,SPY,US
2014-07-09,162.03309631347656,SPY,US
2014-07-10,161.3919219970703,SPY,US
2014-07-11,161.61383056640625,SPY,US
2014-07-14,162.42767333984375,SPY,US
2014-07-15,162.1234893798828,SPY,US
2014-07-16,162.72360229492188,SPY,US
2014-07-17,160.87403869628906,SPY,US
2014-07-18,162.51806640625,SPY,US
2014-07-21,162.21389770507812,SPY,US
2014-07-22,162.9208526611328,SPY,US
2014-07-23,163.28250122070312,SPY,US
2014-07-24,163.29078674316406,SPY,US
2014-07-25,162.5263214111328,SPY,US
2014-07-28,162.59202575683594,SPY,US
2014-07-29,161.89334106445312,SPY,US
2014-07-30,161.91795349121094,SPY,US
2014-07-31,158.720458984375,SPY,US
2014-08-01,158.23548889160156,SPY,US
2014-08-04,159.37802124023438,SPY,US
2014-08-05,157.8326416015625,SPY,US
2014-08-06,157.88194274902344,SPY,US
2014-08-07,157.027099609375,SPY,US
2014-08-08,158.8437042236328,SPY,US
2014-08-11,159.3040313720703,SPY,US
2014-08-12,159.0821075439453,SPY,US
2014-08-13,160.15890502929688,SPY,US
2014-08-14,160.91517639160156,SPY,US
2014-08-15,160.88226318359375,SPY,US
2014-08-18,162.23037719726562,SPY,US
2014-08-19,163.07705688476562,SPY,US
2014-08-20,163.5126495361328,SPY,US
2014-08-21,163.9893798828125,SPY,US
2014-08-22,163.73458862304688,SPY,US
2014-08-25,164.5648651123047,SPY,US
2014-08-26,164.67173767089844,SPY,US
2014-08-27,164.60595703125,SPY,US
2014-08-28,164.5155029296875,SPY,US
2014-08-29,164.98403930664062,SPY,US
2014-09-02,164.90188598632812,SPY,US
2014-09-03,164.8114013671875,SPY,US
2014-09-04,164.5730743408203,SPY,US
2014-09-05,165.31288146972656,SPY,US
2014-09-08,164.8853759765625,SPY,US
2014-09-09,163.8415069580078,SPY,US
2014-09-10,164.45802307128906,SPY,US
2014-09-11,164.6470184326172,SPY,US
2014-09-12,163.68531799316406,SPY,US
2014-09-15,163.56202697753906,SPY,US
2014-09-16,164.79502868652344,SPY,US
2014-09-17,165.01695251464844,SPY,US
2014-09-18,165.89645385742188,SPY,US
2014-09-19,165.74697875976562,SPY,US
2014-09-22,164.4669952392578,SPY,US
2014-09-23,163.52548217773438,SPY,US
2014-09-24,164.8055419921875,SPY,US
2014-09-25,162.14633178710938,SPY,US
2014-09-26,163.4346466064453,SPY,US
2014-09-29,163.13734436035156,SPY,US
2014-09-30,162.7079315185547,SPY,US
2014-10-01,160.50286865234375,SPY,US
2014-10-02,160.52769470214844,SPY,US
2014-10-03,162.29502868652344,SPY,US
2014-10-06,162.10504150390625,SPY,US
2014-10-07,159.60272216796875,SPY,US
2014-10-08,162.39413452148438,SPY,US
2014-10-09,159.17333984375,SPY,US
2014-10-10,157.3563995361328,SPY,US
2014-10-13,154.7715301513672,SPY,US
2014-10-14,155.01104736328125,SPY,US
2014-10-15,153.9622344970703,SPY,US
2014-10-16,153.83009338378906,SPY,US
2014-10-17,155.6469268798828,SPY,US
2014-10-20,157.15826416015625,SPY,US
2014-10-21,160.27166748046875,SPY,US
2014-10-22,159.13201904296875,SPY,US
2014-10-23,160.98187255859375,SPY,US
2014-10-24,162.22067260742188,SPY,US
2014-10-27,161.9976806640625,SPY,US
2014-10-28,163.8558349609375,SPY,US
2014-10-29,163.6081085205078,SPY,US
2014-10-30,164.65692138671875,SPY,US
2014-10-31,166.5398406982422,SPY,US
2014-11-03,166.63072204589844,SPY,US
2014-11-04,166.0525360107422,SPY,US
2014-11-05,167.10142517089844,SPY,US
2014-11-06,167.77035522460938,SPY,US
2014-11-07,167.92726135253906,SPY,US
2014-11-10,168.45574951171875,SPY,US
2014-11-11,168.62095642089844,SPY,US
2014-11-12,168.4392852783203,SPY,US
2014-11-13,168.6292266845703,SPY,US
2014-11-14,168.6705322265625,SPY,US
2014-11-17,168.77784729003906,SPY,US
2014-11-18,169.75238037109375,SPY,US
2014-11-19,169.47982788085938,SPY,US
2014-11-20,169.77711486816406,SPY,US
2014-11-21,170.68557739257812,SPY,US
2014-11-24,171.16452026367188,SPY,US
2014-11-25,171.04066467285156,SPY,US
2014-11-26,171.4783935546875,SPY,US
2014-11-28,171.11502075195312,SPY,US
2014-12-01,169.92575073242188,SPY,US
2014-12-02,171.02418518066406,SPY,US
2014-12-03,171.6848907470703,SPY,US
2014-12-04,171.49488830566406,SPY,US
2014-12-05,171.7757110595703,SPY,US
2014-12-08,170.6277618408203,SPY,US
