Ticker,Market,Avg_Daily_Return,Daily_Volatility,Total_Return,Annualized_Volatility,Risk_Adjusted_Return
VFV.TO,Canada,0.000629055024553536,0.01016798992467676,4.734580500467388,0.1614118360446305,0.06186621241892445
SPY,US,0.0005649214709376255,0.010905278985227685,3.626138998910993,0.17311593703614767,0.051802569352225596
VTI,US,0.0005496396551643895,0.01111081728346294,3.386212136293871,0.17637875636832712,0.04946887714393966
SCHD,US,0.00047043815296125656,0.010163037991695118,2.5579027920837976,0.16133322654555962,0.04628912667114718
XIC.TO,Canada,0.00045043633958142203,0.009164931977541122,2.4377767509890997,0.1454887847723833,0.049147810445863284
VDY.TO,Canada,0.0004556345911927968,0.009870354835228953,2.422742297721964,0.15668702547587834,0.0461619261717482
VCN.TO,Canada,0.00044522642755198796,0.009245745815761411,2.376433393729412,0.14677166468292424,0.04815473369308957
SPLV,US,0.00039373450689153436,0.009441825222308305,1.880131183300876,0.14988432876458951,0.04170110096523006
ZAG.TO,Canada,0.00010595286955845433,0.004201303513613243,0.3413801362053197,0.06669362567593505,0.02521904671136977
BND,US,9.299215180524029e-05,0.0032651028576215274,0.3044071087877789,0.051831900997877385,0.02848061940473773
